"","stat","pval","tf","pval.adjusted","rank"
"MA0914.1",-4.7764487376273,1.78427527258279e-06,"ISL2",3.97334135327391e-06,149
"MA0785.1",-4.72227800615291,2.33229294014206e-06,"POU2F1",5.13242045234802e-06,150
"MA1120.1",-4.70580738609849,2.52876019652078e-06,"SOX13",5.54839737236619e-06,151
"MA0479.1",-4.68070157024215,2.85909308790237e-06,"FOXH1",6.24881746257665e-06,152
"MA1107.2",-4.5775304396849,4.70519599686898e-06,"KLF9",1.017413395265e-05,153
"MA0470.2",-4.54805407029872,5.41470249374741e-06,"E2F4",1.16408301450593e-05,154
"MA0784.1",-4.53155469494637,5.85539871924873e-06,"POU1F1",1.2480364127313e-05,155
"MA0509.2",-4.44693666724151,8.71075778794928e-06,"RFX1",1.84608673574152e-05,156
"MA1518.1",-4.43790002028024,9.08455479741787e-06,"LHX1",1.9198520903325e-05,157
"MA0667.1",-4.41243211416652,1.02220842803247e-05,"MYF6",2.14204350368601e-05,158
"MA0668.1",-4.38275565387987,1.17193852652601e-05,"NEUROD2",2.44892476411317e-05,159
"MA0669.1",-4.3724207720693,1.22882966910767e-05,"NEUROG2",2.55350120655799e-05,160
"MA0466.2",-4.31682390480088,1.58298489280579e-05,"CEBPB",3.2621732873843e-05,161
"MA0862.1",-4.24912525272816,2.14618386520691e-05,"GMEB2",4.37446219520316e-05,162
"MA0642.1",-4.2386505490311,2.24878661419697e-05,"EN2",4.55868156030148e-05,163
"MA0035.4",-4.2335591268601,2.3003272508398e-05,"GATA1",4.65052609519375e-05,164
"MA0611.1",-4.1000220212428,4.13129566614657e-05,"Dux",8.21852417852091e-05,165
"MA0845.1",-4.0545853417089,5.02254898530494e-05,"FOXB1",9.86005669220391e-05,166
"MA0037.3",-4.01408995829451,5.96783812208303e-05,"GATA3",0.000115636551664258,167
"MA0787.1",-3.97492675715917,7.0403927751407e-05,"POU3F2",0.000135714031272738,168
"MA0502.2",-3.97226134184484,7.11965257483705e-05,"NFYB",0.000136888165485269,169
"MA1479.1",-3.95970741235865,7.5045015799731e-05,"DMRTC2",0.000143916662690487,170
"MA0527.1",-3.94885443928068,7.85293630310279e-05,"ZBTB33",0.000150212576464479,171
"MA0727.1",-3.93044282758317,8.47931493170618e-05,"NR3C2",0.000161779256753269,172
"MA0773.1",-3.91059407620816,9.20732649410636e-05,"MEF2D",0.000175221060321514,173
"MA0525.2",-3.89618810975113,9.77228896429345e-05,"TP63",0.000185028618460988,174
"MA0498.2",-3.89426158233218,9.85024274626394e-05,"MEIS1",0.000186032432625643,175
"MA0651.1",-3.83177135809876,0.000127229917930823,"HOXC11",0.000237878493173919,176
"MA1480.1",-3.82335008607119,0.000131656499643129,"DPRX",0.000244927054198937,177
"MA1585.1",-3.81262105448941,0.000137506603877666,"ZKSCAN1",0.000254670227343604,178
"MA0640.2",-3.81249501997239,0.000137576543725834,"ELF3",0.000254670227343604,179
"MA0837.1",-3.79209777621698,0.000149386992452725,"CEBPE",0.000274489399925451,180
"MA1523.1",-3.75514641602404,0.00017324712255951,"MSANTD3",0.000317548779924803,181
"MA1580.1",-3.75247456296318,0.000175105284351696,"ZBTB32",0.000320167995407758,182
"MA0508.3",-3.74862420067002,0.00017781435090803,"PRDM1",0.000324326419993619,183
"MA0735.1",-3.72575731895176,0.000194737459627204,"GLIS1",0.000353465072705338,184
"MA0113.3",-3.70765165804805,0.000209198562640444,"NR3C1",0.00037787440128274,185
"MA0077.1",-3.68291149339032,0.000230595131298134,"SOX9",0.000414515585417851,186
"MA1476.1",-3.62414991139964,0.000289926620310147,"DLX5",0.000513741707247908,187
"MA0032.2",-3.54326713730613,0.000395217243471288,"FOXC1",0.000693722502657838,188
"MA1623.1",-3.5377488076935,0.000403568981095326,"Stat2",0.000706719389429843,189
"MA0637.1",-3.43632288718693,0.00058969136623236,"CENPB",0.00102067229514928,190
"MA0039.4",-3.43335131135866,0.000596190828702735,"KLF4",0.00102953323660241,191
"MA0598.3",-3.42462219353397,0.00061567746036892,"EHF",0.00106072837282959,192
"MA1514.1",-3.38661623971216,0.000707628529931187,"KLF17",0.00120248492785573,193
"MA0070.1",-3.35215199844206,0.000801889944322432,"PBX1",0.0013503609446152,194
"MA0881.1",-3.34558832740502,0.000821116476639399,"Dlx4",0.00137652335184942,195
"MA0877.2",-3.33609690600659,0.000849670661105708,"BARHL1",0.00142119801162524,196
"MA0163.1",-3.16692507322234,0.00154065264191114,"PLAG1",0.00253155698428571,197
"MA0612.2",-3.16317089171626,0.00156067119094662,"EMX1",0.00253651570467577,198
"MA0893.2",-3.16317089171626,0.00156067119094662,"GSX2",0.00253651570467577,199
"MA0900.2",-3.16317089171626,0.00156067119094662,"HOXA2",0.00253651570467577,200
"MA0902.2",-3.16317089171626,0.00156067119094662,"HOXB2",0.00253651570467577,201
"MA0912.2",-3.16317089171626,0.00156067119094662,"HOXD3",0.00253651570467577,202
