"","stat","pval","tf","pval.adjusted","rank"
"MA0491.2",-10.4700005179595,1.18654797531581e-25,"JUND",5.39734627796094e-25,97
"MA0477.2",-10.4007533386545,2.46006334202305e-25,"FOSL1",1.11224682009042e-24,98
"MA1573.1",-10.2747867523562,9.155605219272e-25,"THAP11",4.08959407624134e-24,99
"MA1120.1",-10.2742175671823,9.20980971593224e-25,"SOX13",4.08959407624134e-24,100
"MA0835.2",-10.2334025511137,1.4050895546612e-24,"BATF3",6.12980589343425e-24,101
"MA0625.1",-10.2134117606126,1.72701500257332e-24,"NFATC3",7.49042553441686e-24,102
"MA0604.1",-10.0959037948892,5.76038869135361e-24,"Atf1",2.46968388721253e-23,103
"MA0144.2",-9.89350928044008,4.44222221377618e-23,"STAT3",1.860515589232e-22,104
"MA0838.1",-9.87210298904646,5.50047416302938e-23,"CEBPG",2.27964095867773e-22,105
"MA0471.2",-9.69786257953948,3.07910374546136e-22,"E2F6",1.24162778060226e-21,106
"MA0606.1",-9.69592964257775,3.13797523023518e-22,"NFAT5",1.2585642590083e-21,107
"MA1487.1",-9.68720370048031,3.41790473499785e-22,"FOXE1",1.36350638091358e-21,108
"MA0490.2",-9.66826715077851,4.11322664176763e-22,"JUNB",1.62352755278236e-21,109
"MA1651.1",-9.61195594016379,7.11905540469396e-22,"ZFP42",2.79516596415879e-21,110
"MA0152.1",-9.61003949588019,7.25281211892175e-22,"NFATC2",2.83277373859457e-21,111
"MA0478.1",-9.58715913727466,9.05523722021198e-22,"FOSL2",3.5183369616032e-21,112
"MA0840.1",-9.55907974160442,1.18819802895406e-21,"Creb5",4.59272398756335e-21,113
"MA0867.2",-9.53295617509576,1.5288149542215e-21,"SOX4",5.8788451332435e-21,114
"MA0727.1",-9.42160020851681,4.44306927041242e-21,"NR3C2",1.69975880806547e-20,115
"MA1127.1",-9.17249675635951,4.62230301686969e-20,"FOSB::JUN",1.70704853989346e-19,116
"MA0113.3",-9.15059667987537,5.66251468472258e-20,"NR3C1",2.07070389941326e-19,117
"MA0515.1",-9.0934123078395,9.59871972533805e-20,"Sox6",3.49299751956204e-19,118
"MA0480.1",-9.05406205282214,1.37758973947975e-19,"Foxo1",4.98874730898977e-19,119
"MA1139.1",-8.97825639437647,2.75116269246485e-19,"FOSL2::JUNB(var.2)",9.86715081047488e-19,120
"MA0143.4",-8.97589986307751,2.81070293044146e-19,"SOX2",1.00324611775566e-18,121
"MA0837.1",-8.9614950328735,3.20334851284539e-19,"CEBPE",1.13795142408698e-18,122
"MA1129.1",-8.94782765107463,3.62579198724362e-19,"FOSL1::JUN(var.2)",1.28191508174585e-18,123
"MA1653.1",-8.91289969222962,4.97193774973794e-19,"ZNF148",1.74134533394578e-18,124
"MA0476.1",-8.8997850186981,5.59599554878794e-19,"FOS",1.95075358850271e-18,125
"MA0466.2",-8.77008785959243,1.7854285720941e-18,"CEBPB",6.1663412721398e-18,126
"MA0901.2",-8.69455581029583,3.48219553799994e-18,"HOXB13",1.19710500983777e-17,127
"MA0841.1",-8.68891564725558,3.65947183580419e-18,"NFE2",1.24655981256161e-17,128
"MA1636.1",-8.68678076661418,3.72887305020427e-18,"CEBPG(var.2)",1.26442695247836e-17,129
"MA1140.2",-8.63328962534544,5.96174174498051e-18,"JUNB(var.2)",2.00336006385381e-17,130
"MA1562.1",-8.51941905367085,1.60369414443346e-17,"SOX14",5.31713702998827e-17,131
"MA0605.2",-8.48735568992022,2.114100483669e-17,"ATF3",6.97840248149148e-17,132
"MA0095.2",-8.45756629805706,2.73038467375834e-17,"YY1",8.97298223182257e-17,133
"MA0489.1",-8.32657039949428,8.32250228515449e-17,"JUN(var.2)",2.68769987217543e-16,134
"MA1647.1",-8.19356491733855,2.53621408079675e-16,"PRDM4",8.12023907413897e-16,135
"MA1107.2",-8.16026617560606,3.34314398720945e-16,"KLF9",1.06580573267447e-15,136
"MA0834.1",-8.15723533949147,3.42808273296374e-16,"ATF7",1.08225942766242e-15,137
"MA0865.1",-8.13567325487786,4.09688831623222e-16,"E2F8",1.27877769201223e-15,138
"MA1133.1",-8.09644491282077,5.65932003541574e-16,"JUN::JUNB(var.2)",1.75910531100839e-15,139
"MA1606.1",-8.06409468833666,7.37865405502185e-16,"Foxf1",2.28401490665822e-15,140
"MA0032.2",-8.05915526846054,7.68296917616116e-16,"FOXC1",2.36838636587447e-15,141
"MA1136.1",-8.05461082089392,7.97385675442052e-16,"FOSB::JUNB(var.2)",2.44794120938177e-15,142
"MA0462.2",-8.01908073787244,1.0654805568755e-15,"BATF::JUN",3.25757580093902e-15,143
"MA0851.1",-7.99916047381522,1.25280428389047e-15,"Foxj3",3.79915445439955e-15,144
"MA1145.1",-7.93357700284546,2.129394667484e-15,"FOSL2::JUND(var.2)",6.40535654009299e-15,145
"MA0656.1",-7.86869982953983,3.58374244244059e-15,"JDP2(var.2)",1.06512823189669e-14,146
"MA1634.1",-7.8216890175929,5.21233398249372e-15,"BATF",1.53086659485839e-14,147
"MA0770.1",-7.81213940310181,5.6229743241411e-15,"HSF2",1.64499562580755e-14,148
"MA0131.2",-7.74051729441863,9.90208483364875e-15,"HINFP",2.87430166766613e-14,149
"MA1470.1",-7.72965897236971,1.07843505249564e-14,"BACH2(var.2)",3.10622605853957e-14,150
"MA0660.1",-7.69505214444061,1.41447462585063e-14,"MEF2B",4.04290448614779e-14,151
"MA0101.1",-7.65944463363534,1.86753234737313e-14,"REL",5.31747759977234e-14,152
"MA1607.1",-7.64730356421617,2.05253227764372e-14,"Foxl2",5.82201170768903e-14,153
"MA0107.1",-7.56926308353888,3.75375936816502e-14,"RELA",1.04100538611565e-13,154
"MA1475.1",-7.46051758953466,8.6189742119013e-14,"CREB3L4(var.2)",2.37260323323925e-13,155
"MA0514.1",-7.45855638714088,8.74821321443083e-14,"Sox3",2.39932612425198e-13,156
"MA0593.1",-7.45201013416247,9.19355562092077e-14,"FOXP2",2.51223168249337e-13,157
"MA0060.3",-7.34974055818244,1.98606635775507e-13,"NFYA",5.40731935359591e-13,158
"MA0151.1",-7.30178290493262,2.84000040780367e-13,"Arid3a",7.7041465608056e-13,159
"MA0088.2",-7.27126794543336,3.56154819788746e-13,"ZNF143",9.62650346240596e-13,160
"MA0836.2",-7.21711071381208,5.31076192811727e-13,"CEBPD",1.42511812891204e-12,161
"MA1126.1",-7.20688516415137,5.72504124664781e-13,"FOS::JUN(var.2)",1.53078163799257e-12,162
"MA0786.1",-7.16319619789709,7.88231185179645e-13,"POU3F1",2.0851789508653e-12,163
"MA0667.1",-7.11097891438409,1.15231032684857e-12,"MYF6",3.02684332334167e-12,164
"MA1131.1",-7.10206525134424,1.22915002378898e-12,"FOSL2::JUN(var.2)",3.21735409735642e-12,165
"MA0087.1",-7.07409342233946,1.50439689030033e-12,"Sox5",3.9240562243498e-12,166
"MA0788.1",-7.06887581323588,1.56205000389628e-12,"POU3F3",4.06024147354226e-12,167
"MA0609.2",-7.06770099583872,1.5753276107567e-12,"CREM",4.08053610286285e-12,168
"MA0758.1",-7.01658143608904,2.27378555053237e-12,"E2F7",5.8290172532548e-12,169
"MA1525.1",-7.01076428497807,2.37036548334637e-12,"NFATC4",6.0557967485493e-12,170
"MA0733.1",-6.99648656132117,2.62479408700611e-12,"EGR4",6.68292282903261e-12,171
"MA1143.1",-6.94611686286786,3.75504210999965e-12,"FOSL1::JUND(var.2)",9.49580140359233e-12,172
"MA0619.1",-6.94454519823777,3.79708175018924e-12,"LIN54",9.56967224878775e-12,173
"MA0832.1",-6.92778616864882,4.27507174184914e-12,"Tcf21",1.07380589879443e-11,174
"MA0833.2",-6.91423205710296,4.70437582519972e-12,"ATF4",1.1776726059057e-11,175
"MA0040.1",-6.89153208515257,5.51985148334214e-12,"Foxq1",1.37719371457299e-11,176
"MA0787.1",-6.84811632029521,7.48338987662398e-12,"POU3F2",1.86086961598716e-11,177
"MA1599.1",-6.83389986028973,8.26424067957438e-12,"ZNF682",2.04821380297757e-11,178
"MA0771.1",-6.82726111191483,8.65570555696605e-12,"HSF4",2.13813124023069e-11,179
"MA0486.2",-6.79357989897944,1.09392126644416e-11,"HSF1",2.68442521305046e-11,180
"MA0002.2",-6.78552025111885,1.15676846895002e-11,"RUNX1",2.82934189454660e-11,181
"MA0632.2",-6.75481922572797,1.43023207246872e-11,"TCFL5",3.48677492177015e-11,182
"MA0784.1",-6.73264019109313,1.66623075354562e-11,"POU1F1",4.04888645649847e-11,183
"MA0638.1",-6.71369968767883,1.8976357021246e-11,"CREB3",4.59622153826282e-11,184
"MA0852.2",-6.6378340078706,3.18347430693557e-11,"FOXK1",7.61176869542929e-11,185
"MA0102.4",-6.58776534244321,4.46525430667079e-11,"CEBPA",1.06424271973687e-10,186
"MA0681.2",-6.57457276498667,4.87963126879054e-11,"PHOX2B",1.15562061159293e-10,187
"MA0481.3",-6.52712187970417,6.70499226045753e-11,"FOXP1",1.57789407769758e-10,188
"MA0757.1",-6.4898018174646,8.59550220659659e-11,"ONECUT3",2.01642913400033e-10,189
"MA1622.1",-6.41417094150146,1.41600469785411e-10,"Smad2::Smad3",3.3010609518724e-10,190
"MA0142.1",-6.25909867465132,3.87233418994872e-10,"Pou5f1::Sox2",8.88849632523614e-10,191
"MA0627.2",-6.2570778018752,3.92282661630767e-10,"POU2F3",8.97677501768565e-10,192
"MA0078.1",-6.24889468831413,4.13393771592321e-10,"Sox17",9.43094047730493e-10,193
"MA0785.1",-6.20044428448848,5.63075379613126e-10,"POU2F1",1.27289161573149e-09,194
"MA1640.1",-6.14058777407494,8.2221822460331e-10,"MEIS2(var.2)",1.84751444443997e-09,195
"MA0084.1",-6.13206416049786,8.67515171465346e-10,"SRY",1.94344239613558e-09,196
"MA1639.1",-6.01382412249042,1.81208197974427e-09,"MEIS1(var.2)",4.011315005606e-09,197
"MA1116.1",-5.95719448404832,2.56620293731338e-09,"RBPJ",5.66386802140763e-09,198
"MA0470.2",-5.9293988213195,3.04064334175737e-09,"E2F4",6.67152921456177e-09,199
"MA0749.1",-5.78152323388497,7.40317374133543e-09,"ZBED1",1.59617561012608e-08,200
"MA0007.3",-5.77875355666672,7.52605032358145e-09,"Ar",1.61799237504085e-08,201
"MA0877.2",-5.74929474432426,8.96217794723686e-09,"BARHL1",1.91569763571309e-08,202
"MA1563.1",-5.66301490294219,1.48744843872751e-08,"SOX18",3.17039010083064e-08,203
"MA0695.1",-5.63365836291946,1.76436496817501e-08,"ZBTB7C",3.74990389247453e-08,204
"MA0465.2",-5.6215860949127,1.89223017230017e-08,"CDX2",4.0102378083407e-08,205
"MA1115.1",-5.60792195374119,2.04782040234936e-08,"POU5F1",4.32768844235871e-08,206
"MA0845.1",-5.56209569167087,2.6656918844657e-08,"FOXB1",5.51682842257224e-08,207
"MA0488.1",-5.55770826348529,2.73355261171027e-08,"JUN",5.63323273020956e-08,208
"MA1509.1",-5.5000568166044,3.79690426110549e-08,"IRF6",7.76024816105397e-08,209
"MA0492.1",-5.48367348053041,4.16606726290511e-08,"JUND(var.2)",8.49149228996507e-08,210
"MA0756.1",-5.48103917866572,4.22858607521187e-08,"ONECUT2",8.59543654525356e-08,211
"MA0637.1",-5.46296798767922,4.68265441761254e-08,"CENPB",9.49255487918195e-08,212
"MA0006.1",-5.45888444263034,4.79162075892585e-08,"Ahr::Arnt",9.68712489473898e-08,213
"MA0647.1",-5.3845167560855,7.2643551002176e-08,"GRHL1",1.46070320883082e-07,214
"MA0869.1",-5.32580514453703,1.00512317009053e-07,"Sox11",2.01565022819231e-07,215
"MA1113.2",-5.30593237043049,1.12104617563205e-07,"PBX2",2.24209235126411e-07,216
"MA0614.1",-5.28502794463771,1.25692385087205e-07,"Foxj2",2.50044051400146e-07,217
"MA0500.2",-5.22912056712115,1.70327380949781e-07,"MYOG",3.37936771778022e-07,218
"MA0844.1",-5.17258836157262,2.30885564944568e-07,"XBP1",4.54460768993794e-07,219
"MA0442.2",-5.15408988446243,2.54879127452241e-07,"SOX10",5.00367971261505e-07,220
"MA0145.3",-5.14763940190455,2.63798955930782e-07,"TFCP2",5.16519740483893e-07,221
"MA0146.2",-5.1272282103272,2.94054414784412e-07,"Zfx",5.7425286238003e-07,222
"MA0527.1",-5.10778232964433,3.25978953079859e-07,"ZBTB33",6.34935506521084e-07,223
"MA1683.1",-5.07999865969637,3.77457213449255e-07,"FOXA3",7.33289274044646e-07,224
"MA1644.1",-5.04537161329553,4.52664167398739e-07,"NFYC",8.74838002278391e-07,225
"MA0520.1",-5.03431383902612,4.79588212111628e-07,"Stat6",9.22094861431119e-07,226
"MA0862.1",-5.00659638345768,5.5403951005575e-07,"GMEB2",1.06250250514547e-06,227
"MA1522.1",-4.98381889558005,6.23446128944575e-07,"MAZ",1.19254054408373e-06,228
"MA1103.2",-4.94242081109443,7.71623709210491e-07,"FOXK2",1.4722027802328e-06,229
"MA1118.1",-4.91529446282618,8.86536006225523e-07,"SIX1",1.68713229756184e-06,230
"MA1583.1",-4.90678138392352,9.25878191280389e-07,"ZFP57",1.75751941652715e-06,231
"MA0905.1",-4.87260305649479,1.10142919388277e-06,"HOXC10",2.08016754085202e-06,232
"MA0029.1",-4.86182393801971,1.16314880694086e-06,"Mecom",2.19118436863101e-06,233
"MA0615.1",-4.83857905903216,1.30777316786068e-06,"Gmeb1",2.4574276655518e-06,234
"MA0108.2",-4.77209540433234,1.82328093419514e-06,"TBP",3.38350143509845e-06,235
"MA1466.1",-4.72567012125271,2.29368944127642e-06,"ATF6",4.23537703760448e-06,236
"MA0042.2",-4.72111542963077,2.34566197800867e-06,"FOXI1",4.27839568605005e-06,237
"MA0033.2",-4.72111542963077,2.34566197800867e-06,"FOXL1",4.27839568605005e-06,238
"MA0848.1",-4.72111542963077,2.34566197800867e-06,"FOXO4",4.27839568605005e-06,239
"MA0849.1",-4.72111542963077,2.34566197800867e-06,"FOXO6",4.27839568605005e-06,240
"MA0850.1",-4.72111542963077,2.34566197800867e-06,"FOXP3",4.27839568605005e-06,241
"MA0507.1",-4.71120919053212,2.46263274895752e-06,"POU2F2",4.46988815260903e-06,242
"MA0047.3",-4.62983934257588,3.65967057159498e-06,"FOXA2",6.61044611721515e-06,243
"MA1632.1",-4.62235022581731,3.79434861936976e-06,"ATF2",6.83715958949237e-06,244
"MA0650.2",-4.58966296624847,4.43983379492237e-06,"HOXA13",7.96181733416368e-06,245
"MA1514.1",-4.58734244205833,4.48945193582797e-06,"KLF17",8.03148955426299e-06,246
"MA1489.1",-4.55542287312977,5.22827608694541e-06,"FOXN3",9.26435620157072e-06,247
"MA0766.2",-4.5338809704754,5.79123957428847e-06,"GATA5",1.02133917787688e-05,248
"MA0469.3",-4.51602608782988,6.30139274033155e-06,"E2F3",1.10868843969041e-05,249
"MA1474.1",-4.48301664586971,7.35986108383353e-06,"CREB3L4",1.29187208671525e-05,250
"MA1473.1",-4.4675318860232,7.91308904802156e-06,"CDX4",1.376029004621e-05,251
"MA0105.4",-4.44347095149248,8.85231982276093e-06,"NFKB1",1.52866448791196e-05,252
"MA0792.1",-4.41117133063316,1.0281763776849e-05,"POU5F1B",1.76732621602059e-05,253
"MA0873.1",-4.34466284807822,1.39496084640869e-05,"HOXD12",2.38132904215305e-05,254
"MA0602.1",-4.24083819319418,2.22696492582227e-05,"Arid5a",3.741702330323e-05,255
"MA0878.2",-4.22997978817281,2.33722622225313e-05,"CDX1",3.91813654337266e-05,256
"MA0767.1",-4.09894437014329,4.15056607131029e-05,"GCM2",6.88071619821661e-05,257
"MA0700.2",-4.09047867274175,4.30502247176792e-05,"LHX2",7.12094626150526e-05,258
"MA0073.1",-4.08414736504526,4.42408296895863e-05,"RREB1",7.30169445761756e-05,259
"MA0911.1",-4.04693998021647,5.18937518432304e-05,"Hoxa11",8.52703499450438e-05,260
"MA1638.1",-4.01945118860939,5.83363171999711e-05,"HAND2",9.5227336173257e-05,261
"MA0794.1",-3.97702943554751,6.97844503248696e-05,"PROX1",0.000113666375419984,262
"MA0908.1",-3.9596780334121,7.50540143452411e-05,"HOXD11",0.000121718031959891,263
"MA1554.1",-3.8037804180187,0.000142510236296977,"RFX7",0.000229122060942985,264
"MA0639.1",-3.80086403327814,0.000144198229054659,"DBP",0.000231337373924249,265
"MA1619.1",-3.79478301151676,0.000147778536343242,"Ptf1a(var.2)",0.000236020901114268,266
"MA0030.1",-3.79429958417319,0.000148066731530131,"FOXF2",0.000236020901114268,267
"MA0843.1",-3.76725770234623,0.000165057208914111,"TEF",0.000259773581961871,268
"MA0025.2",-3.76166506409704,0.000168792674585225,"NFIL3",0.000265093337348585,269
"MA1503.1",-3.65920227011939,0.000253011446044816,"HOXB9",0.000395695049789166,270
"MA0148.4",-3.65245016814747,0.000259760037076296,"FOXA1",0.000405399555771793,271
"MA0694.1",-3.62760599526165,0.000286072335371597,"ZBTB7B",0.000444604087890024,272
"MA0018.4",-3.59955085136073,0.000318779437892325,"CREB1",0.000493380623791855,273
"MA0909.2",-3.52121453683949,0.000429590995742184,"HOXD13",0.000656710825458339,274
"MA0038.2",-3.49086502036502,0.000481477286245277,"GFI1",0.000734181848861568,275
"MA0913.2",-3.49044353970861,0.00048223740742918,"HOXD9",0.000734181848861568,276
"MA0100.3",-3.43710838673876,0.000587981798659882,"MYB",0.000891533377642829,277
"MA0899.1",-3.40078598101112,0.000671948472707244,"HOXA10",0.00101063217870888,278
"MA0651.1",-3.33041113509522,0.000867209529441065,"HOXC11",0.00129387661792607,279
"MA1652.1",-3.27351980242913,0.00106220654842699,"ZKSCAN5",0.00157223429588599,280
"MA0635.1",-3.25620556813298,0.00112915945235272,"BARHL2",0.0016680256464458,281
"MA0839.1",-3.2415160990479,0.00118899859050687,"CREB3L1",0.00174949299510478,282
"MA0870.1",-3.21847693974196,0.00128877802401027,"Sox1",0.00189257560218831,283
"MA1478.1",-3.20228469624428,0.00136346885613734,"DMRTA2",0.00199832567127398,284
"MA0611.1",-3.19178234968514,0.00141402707284383,"Dux",0.00206836116929705,285
"MA0880.1",-3.15060346966458,0.00162939100795096,"Dlx3",0.00236944579323863,286
"MA1546.1",-3.13753383677556,0.00170381417156457,"PAX3(var.2)",0.00246326622478134,287
"MA1123.2",-3.05712482327549,0.00223478581439116,"TWIST1",0.00321223548658152,288
"MA1472.1",-2.96798445846883,0.00299769145140023,"BHLHA15(var.2)",0.00428405713169459,289
"MA1104.2",-2.96668146402861,0.00301042377286029,"GATA6",0.00429402702591545,290
"MA1506.1",-2.94766164992734,0.003201976175947,"HOXD10",0.00455853860163448,291
"MA0600.2",-2.90910992100955,0.00362470903843765,"RFX2",0.00515053893842759,292
